Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-25,4758.510654953604,11613.69683216554,8134.58733784578,1010267,,Santiago,Foodservice,25
2021-06-26,1730.8005085954135,8645.56841963182,5148.272592666306,1010267,,Santiago,Foodservice,25
2021-06-22,992.1089588846286,3092.1335483288726,2035.3817992613917,1010078,,Santiago,Foodservice,25
2021-06-23,1705.7254196381914,3850.18370099322,2725.259583257912,1010078,,Santiago,Foodservice,25
2021-06-24,1144.3018723776063,3204.722692709918,2154.968276656122,1010078,,Santiago,Foodservice,25
2021-06-25,1060.967701534605,3239.98308140148,2153.222195905551,1010078,,Santiago,Foodservice,25
2021-06-26,358.8495873314269,2439.3552341361114,1351.1442935886512,1010078,,Santiago,Foodservice,25
2021-06-22,-44.676136911220446,50.85751759121852,2.2630913841032285,1010077,,Santiago,Foodservice,25
2021-06-23,-51.18450750633623,46.35688752717492,-3.5926826718609934,1010077,,Santiago,Foodservice,25
2021-06-24,-63.729319738517,34.82356003066907,-12.851935042606632,1010077,,Santiago,Foodservice,25
2021-06-25,-54.932635552579605,39.30341353784049,-6.495283690519287,1010077,,Santiago,Foodservice,25
2021-06-26,-60.73838023592435,40.49255464251842,-10.722517490354633,1010077,,Santiago,Foodservice,25
2021-06-22,114.08051431889797,2638.8361745531824,1390.9716656639662,1010048,,Santiago,Foodservice,25
2021-06-23,610.1301929554263,3136.3512829445276,1866.5633589549643,1010048,,Santiago,Foodservice,25
2021-06-24,312.02040823881975,2789.3824219540998,1502.2341401893166,1010048,,Santiago,Foodservice,25
2021-06-25,540.0795434658988,3277.687062074388,1859.1728265111572,1010048,,Santiago,Foodservice,25
2021-06-26,-828.2548195105959,1743.0168914147132,506.8125751161456,1010048,,Santiago,Foodservice,25
2021-06-22,-686.0581895724105,1234.1767742405777,307.18004870517893,1010002,,Santiago,Foodservice,25
2021-06-23,-513.9324563232589,1347.6338993990396,430.0127922961233,1010002,,Santiago,Foodservice,25
2021-06-24,-608.675095298269,1365.574790821083,424.1839596282997,1010002,,Santiago,Foodservice,25
2021-06-25,-586.5230873631957,1332.8768619119464,386.7081938360825,1010002,,Santiago,Foodservice,25
2021-06-26,-693.1000682584719,1146.407282283891,199.65386854428016,1010002,,Santiago,Foodservice,25
2021-06-22,1171.4478378232004,3537.3672013633463,2343.775351790284,1020253,,Centro Norte,Tradicional,25
2021-06-23,1616.1836694253263,3935.476795766542,2807.9170385240823,1020253,,Centro Norte,Tradicional,25
2021-06-24,2078.9403822884183,4491.850446250242,3277.8916165765477,1020253,,Centro Norte,Tradicional,25
2021-06-25,2384.8052200358507,4673.463379951869,3484.596913190375,1020253,,Centro Norte,Tradicional,25
2021-06-26,1575.9774044445617,4013.5003673481824,2819.511938389054,1020253,,Centro Norte,Tradicional,25
2021-06-22,62.32893863838416,837.7267777742748,450.9026293992468,1020042,,Centro Norte,Tradicional,25
2021-06-23,44.581277839018995,851.3144556292991,465.7287156948271,1020042,,Centro Norte,Tradicional,25
2021-06-24,92.77966459300099,842.2151144850875,475.94360500125015,1020042,,Centro Norte,Tradicional,25
2021-06-25,109.87834037800162,893.8797866026773,511.53864649846946,1020042,,Centro Norte,Tradicional,25
