ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-09,49.80803452079067,834.9800783162002,441.72306707191166,1020010,Coquimbo,Centro Norte
2021-06-10,76.83511213538053,877.4065936828321,469.7522425575773,1020010,Coquimbo,Centro Norte
2021-06-11,156.79397380173944,932.1902794963711,537.2460447771906,1020010,Coquimbo,Centro Norte
2021-06-12,63.467368732660745,852.499632611872,452.1262577373994,1020010,Coquimbo,Centro Norte
2021-06-06,-165.27719239644148,300.02463601967924,69.84509173781001,1020003,Coquimbo,Centro Norte
2021-06-07,-78.83687047611363,370.0171432051477,139.53328415341667,1020003,Coquimbo,Centro Norte
2021-06-08,-101.04925415536023,373.30304152307076,137.94442776661182,1020003,Coquimbo,Centro Norte
2021-06-09,-105.87421743018234,341.5229351535416,131.58695450713606,1020003,Coquimbo,Centro Norte
2021-06-10,7.197642374687218,488.7974711917562,247.82035739992506,1020003,Coquimbo,Centro Norte
2021-06-11,-35.842880864046144,426.7348909481814,196.2295240240456,1020003,Coquimbo,Centro Norte
2021-06-07,-43.48144918925002,629.40553645643,283.40016034812436,1020001,Coquimbo,Centro Norte
2021-06-08,31.4136122575526,671.7768540013539,339.42935699905485,1020001,Coquimbo,Centro Norte
2021-06-09,-7.504918744339932,656.2610070651183,327.78227001194796,1020001,Coquimbo,Centro Norte
2021-06-10,109.62300106825774,807.8427540302899,468.7855253392414,1020001,Coquimbo,Centro Norte
2021-06-11,89.61794541040955,774.8118821382969,440.36640116980084,1020001,Coquimbo,Centro Norte
2021-06-12,151.39357252236826,849.3208030706179,491.21283195090535,1020001,Coquimbo,Centro Norte
