Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-13,-4614.67780276425,1310.8513595434886,-1596.827916938354,1010077,Pollo,Industriales
2021-06-14,23.173844531338805,6013.517947852898,3023.816191105886,1010077,Pollo,Industriales
2021-06-15,1577.4205837754357,7938.0021190325315,4673.028905375671,1010077,Pollo,Industriales
2021-06-16,2422.4383153559343,8761.040639433557,5606.207654802764,1010077,Pollo,Industriales
2021-06-17,3382.3743182653143,9744.707240640293,6516.330512011971,1010077,Pollo,Industriales
2021-06-11,25010.123943429182,65257.49228683552,45106.943355553376,1010048,Pollo,Industriales
2021-06-12,5222.00694398044,46691.823917064554,25055.318879895916,1010048,Pollo,Industriales
2021-06-13,-44931.58988667871,-2288.5829974237417,-23638.605273460926,1010048,Pollo,Industriales
2021-06-14,-6572.178849713468,32797.30351761291,13168.692738358051,1010048,Pollo,Industriales
2021-06-15,7263.717113348673,47868.821728223185,28267.269012430716,1010048,Pollo,Industriales
2021-06-16,15447.701776875852,54997.08982618844,34498.88203945074,1010048,Pollo,Industriales
2021-06-17,19526.42743971226,58576.22282677859,38359.618375154474,1010048,Pollo,Industriales
2021-06-11,23947.74225317752,46426.69503690157,35293.83533188389,1010002,Pollo,Industriales
2021-06-12,11338.146449307416,33445.89278773251,22354.35256884182,1010002,Pollo,Industriales
2021-06-13,-21626.93640165314,907.3112982493631,-10051.71051817802,1010002,Pollo,Industriales
2021-06-14,-436.76649163067185,22433.591084554137,10960.31121447419,1010002,Pollo,Industriales
2021-06-15,10935.27458062111,32749.383673367567,21861.555753663142,1010002,Pollo,Industriales
2021-06-16,14150.676090717177,36711.549166702476,25420.882934857676,1010002,Pollo,Industriales
2021-06-17,19777.40114984079,42683.72869046246,31171.88031295473,1010002,Pollo,Industriales
2021-06-11,11747.195732465494,20979.889813581878,16362.465771076735,1020253,Cerdo,Grandes Clientes
