Cliente - Local.1;Delta dia promedio;Probarilidad de caida %
3200117950;278.8;20.0
3200003973;49.0;0.0
3200123445;91.0;0.0
3200085222;50.666666666666664;16.666666666666664
61395;0.0;0.0
3200081867;17.25;12.5
3200168879;66.0;0.0
3200130584;86.83333333333333;16.666666666666664
75715;84.0;0.0
3200145644;0.0;0.0
3200158715;53.0;0.0
41966;0.0;0.0
3200053067;175.0;0.0
3200092886;81.1;20.0
26854;31.5;0.0
3200128985;21.96153846153846;3.8461538461538463
3200131001;0.0;0.0
3200166156;49.0;33.33333333333333
3200157426;35.8;0.0
3200064062;339.3333333333333;33.33333333333333
3200131318;83.0;0.0
3200156859;23.0;25.0
3200109131;49.36363636363637;9.090909090909092
30597;89.5;7.142857142857142
3200130744;0.0;0.0
44014;34.3;0.0
3200158838;96.25;25.0
3200117959;0.0;0.0
3200142921;0.0;0.0
3200086908;56.0;0.0
3200173736;0.0;0.0
37310;387.0;33.33333333333333
3200098323;107.5;16.666666666666664
3200113023;70.0;0.0
3200156854;58.8;0.0
6468;55.18518518518518;3.7037037037037033
3200088405;7.0;0.0
3200011480;137.6;10.0
10170;0.0;0.0
3200003306;68.5;8.333333333333332
3200106241;0.0;0.0
3200165174;56.0;0.0
3200166981;13.2;20.0
40367;543.0;0.0
3200014249;9.916666666666666;20.833333333333336
27249;114.14285714285714;14.285714285714285
46719;0.0;0.0
3200065807;241.0;0.0
19228;295.5;25.0
26739;82.0;0.0
3200127847;166.0;20.0
3200126338;51.24;12.0
3200152865;0.0;0.0
3200142151;0.0;0.0
3200158175;63.0;0.0
24436;0.0;0.0
3200060804;53.0;0.0
3200128621;145.0;0.0
3200161290;147.0;0.0
3200137388;11.0;0.0
3200126377;0.0;0.0
34706;95.0;0.0
27200;49.5;0.0
3200056376;251.66666666666666;33.33333333333333
31891;44.8;0.0
24858;9.72972972972973;6.756756756756757
3200068643;158.0;0.0
18730;166.25;12.5
3200133319;0.0;0.0
3200122430;10.5;0.0
3200167172;182.0;0.0
41431;68.66666666666667;33.33333333333333
3200132542;797.0;0.0
20447;0.0;0.0
3200069979;9.40625;6.25
22161;31.0;0.0
3200161991;44.666666666666664;0.0
3200096286;46.0;0.0
3200153469;35.0;15.384615384615385
3200053961;219.75;25.0
20835;192.5;16.666666666666664
3200014493;115.71428571428571;14.285714285714285
3200145751;121.33333333333333;0.0
3200165086;0.0;0.0
3200114163;40.69565217391305;13.043478260869565
3200162028;29.555555555555557;0.0
3200152605;92.0;0.0
3200143485;32.666666666666664;8.333333333333332
3200157886;80.0;0.0
3200078294;50.333333333333336;13.333333333333334
3200048954;1330.0;0.0
3200169314;10.0;14.285714285714285
3200130518;53.666666666666664;0.0
91171;49.0;0.0
3200171077;19.6;0.0
72886;142.33333333333334;0.0
3200149209;0.0;0.0
3200045056;281.0;20.0
3200173192;0.0;0.0
3200168160;0.0;0.0
3200160768;19.6;20.0
3200132640;202.8;20.0
3200166085;0.0;0.0
3200175454;0.0;0.0
3200165722;14.0;0.0
3200131121;0.0;0.0
3200130706;0.0;0.0
3200149969;0.0;0.0
3200151909;29.5;0.0
22950;33.833333333333336;0.0
3200131076;80.125;0.0
3200047873;33.41935483870968;6.451612903225806
3200158622;0.0;0.0
3200168897;14.0;0.0
3200158934;0.0;0.0
3200148323;0.0;0.0
3200159799;42.57142857142857;28.57142857142857
3200013487;588.0;0.0
31950;0.0;0.0
3200166733;39.2;0.0
3200161532;91.0;0.0
3200172754;0.0;0.0
3200144227;0.0;0.0
3200166341;0.0;0.0
29813;0.0;0.0
75391;97.16666666666667;16.666666666666664
3200138224;0.0;0.0
3200152844;0.0;0.0
3200138275;0.0;0.0
8539;226.0;20.0
3200125898;0.0;0.0
9631;43.833333333333336;16.666666666666664
3200138596;65.0;0.0
3200100746;78.75;0.0
3200152915;0.0;0.0
3200145731;17.818181818181817;0.0
81588;164.33333333333334;0.0
3200128365;14.903225806451612;9.67741935483871
6813;191.0;0.0
3200056135;189.0;0.0
3200155750;0.0;0.0
33676;960.0;0.0
3200150325;0.0;0.0
35278;98.0;33.33333333333333
3200060878;64.75;0.0
3200159896;0.0;0.0
3200109112;84.0;0.0
3200156128;67.0;0.0
3200161776;65.0;0.0
3200167154;0.0;0.0
40448;0.0;0.0
3200169906;28.0;0.0
3200154856;77.0;0.0
3200088341;157.0;0.0
3200126525;85.33333333333333;0.0
3200000392;29.0;0.0
3200168966;31.0;0.0
3200045355;0.0;0.0
32239;114.5;0.0
3200126402;20.0;0.0
3200075070;260.5;0.0
18733;0.0;0.0
3200164652;0.0;0.0
3200167432;0.0;0.0
3200096650;95.85714285714286;14.285714285714285
3200092738;52.5;0.0
3200128902;0.0;0.0
3200132245;0.0;0.0
73074;0.0;0.0
3200130376;388.5;0.0
3200130861;44.0;0.0
3200166385;0.0;0.0
3200087986;38.65;20.0
48797;104.25;25.0
3200155028;39.666666666666664;16.666666666666664
3200172026;0.0;0.0
3200165169;50.0;0.0
52982;0.0;0.0
52983;665.0;0.0
3200122587;84.0;0.0
3200165134;46.666666666666664;0.0
38087;17.571428571428573;14.285714285714285
3200131212;80.0;11.11111111111111
3200114456;241.0;0.0
3200131206;43.4;20.0
3200069259;162.6;20.0
3200128609;0.0;0.0
3200173186;9.0;0.0
19086;303.75;0.0
3200054779;37.10526315789474;15.789473684210526
3200163496;91.0;0.0
3200041556;64.0;10.526315789473683
3200148951;23.125;12.5
3200167665;0.0;0.0
3200163108;42.0;0.0
3200123418;0.0;0.0
3200175153;0.0;0.0
3200159480;0.0;0.0
3200167832;59.0;0.0
3200131124;15.5;0.0
3200142409;0.0;0.0
3200161046;0.0;0.0
3200163265;24.5;16.666666666666664
3200132329;329.0;0.0
3200171267;21.0;0.0
3200170035;0.0;0.0
3200160552;22.583333333333332;0.0
3200160912;39.666666666666664;0.0
3200148929;81.2;20.0
3200085859;135.0;14.285714285714285
3200128981;0.0;0.0
26973;73.5;25.0
3200163516;62.0;0.0
3200013746;0.0;0.0
3200153152;0.0;0.0
269;323.75;25.0
3200143736;7.0;0.0
19488;0.0;0.0
3200142630;44.4;10.0
8519;272.5;25.0
