Cliente - Local.1;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200056186;;;3434.0231833144235;105.75;3971.988385574241;443.3333333333333;3322.545282246048;77.55555555555556;2320.786596127966;202.77777777777777;;0.25;0.0;0.4444444444444444;0.2222222222222222
3200147500;;;4120.16813085774;23.5;;;;;;;;1.0;;;
3200147236;;;;;;;;;3400.0;20.0;;;;;1.0
3200167177;;;;;;;5241.394417627322;17.0;;;;;;4.0;
3200078188;;;;;;;3182.788835254644;22.0;;;;;;0.0;
1460;;;;;;;2982.7888352546443;18.5;1969.5830155883702;22.0;;;;0.0;0.0
3200145951;;;;;;;4481.394417627322;25.0;;;;;;3.0;
3200087115;;;;;;;;;3939.16603117674;20.0;;;;;2.0
3200134872;;;4022.2957904322084;113.0;;;;;;;;1.0;;;
3200152471;;;4300.0;19.0;;;;;3600.0;21.0;;2.0;;;1.0
3200083606;;;;;;;;;3500.0;27.0;;;;;1.0
21305;;;;;;;;;3500.0;25.0;;;;;1.0
3200129422;;;;;;;4081.394417627322;22.0;;;;;;2.0;
3200091694;;;4422.295790432208;130.0;;;4087.7957918725515;54.625;3667.6890088937494;75.25;;3.0;;2.125;1.8333333333333333
24576;;;;;;;4181.394417627322;23.0;3948.11068745116;22.5;;;;2.0;1.75
3200140871;;;;;4964.7703404614585;20.0;4075.4717620839124;20.5;3469.58301558837;22.0;;;1.0;1.5;1.0
3200096219;;;;;;;;;2969.5830155883705;19.0;;;;;0.0
36167;;;;;;;4081.394417627322;47.0;3022.703081535223;20.5;;;;2.0;0.5
3200087611;;;;;;;3782.788835254644;23.0;;;;;;1.0;
3200092176;;;;;;;;;3300.0;18.0;;;;;1.0
3200007676;;;4222.295790432208;21.0;5198.812893652948;31.333333333333332;3366.7510994055874;106.0;3117.188557764958;42.0;;1.0;1.3333333333333333;0.5;0.45454545454545453
89617;;;;;4782.291707982827;117.0;3982.7888352546443;383.0;;;;;1.5;4.0;
3200132062;4995.993216317166;158.0;4248.187845303867;90.5;4856.933557327503;51.666666666666664;4163.424125308768;71.8;3859.2146224316252;58.86666666666667;2.0;2.0;1.0;2.5;1.9333333333333333
3200156740;;;;;5205.841769032887;42.0;4332.788835254644;24.0;;;;;1.5;2.0;
48358;;;;;4937.385170230729;24.0;4041.7630812217917;108.5;3500.0;38.0;;;1.0;2.5;1.0
3200115967;;;4358.069490738018;54.5;5231.4370071281255;88.0;3861.503522128674;117.33333333333333;3244.68561442506;106.5;;1.8333333333333333;2.0;2.0;1.5
3200121340;;;3272.295790432208;871.0;4114.7703404614585;74.0;3982.7888352546443;53.0;2444.5274422840785;691.0;;2.0;0.0;1.0;1.0
3200098958;;;4102.739481601832;148.0;4614.7703404614585;98.0;3892.22764929561;71.57142857142857;3080.954808919768;159.91666666666666;;1.6666666666666667;0.0;1.2857142857142858;1.25
24521;;;;;;;;;2959.58301558837;41.0;;;;;0.0
3200140741;;;;;4914.7703404614585;27.0;4891.394417627322;30.0;3136.249682255037;22.5;;;1.0;3.0;0.5
3200059241;;;;;;;5176.788835254644;26.0;;;;;;4.0;
3200084137;;;4590.0;22.0;4807.385170230729;80.0;4246.922872911875;41.0;3273.529826880427;44.5;;2.0;1.0;2.6666666666666665;0.5
3200077796;;;4394.098360655737;30.5;5390.268891160962;53.75;3919.3798286589927;120.0;3764.7358545465863;65.22222222222223;;2.0;2.5;2.4285714285714284;1.6666666666666667
3200115484;;;4250.811096695618;27.25;5097.385170230729;24.0;4063.8874757064177;23.375;3767.6029450836904;21.0;;1.25;1.0;1.5;1.5714285714285714
3200173952;;;;;;;4390.0;38.0;3985.164835164835;30.333333333333332;;;;3.0;2.0
3200079073;;;;;5207.385170230729;16.0;3854.5731143848884;31.833333333333332;3333.288307135454;26.1875;;;2.0;1.0;0.75
3200074431;;;;;;;;;3357.3878936371502;20.5;;;;;0.5
3200142731;;;;;;;4270.788835254644;39.0;3469.5830155883696;20.0;;;;2.0;1.0
3200137843;;;;;;;;;2069.58301558837;41.0;;;;;0.0
3200133117;;;;;;;;;3518.58301558837;26.0;;;;;1.0
3200177015;;;;;;;;;3593.6170212765956;23.5;;;;;1.0
3200169247;;;;;5815.520763451068;29.5;;;;;;;3.0;;
54487;;;;;4845.539571230689;21.666666666666668;3987.0916264409834;18.0;3522.1510850672134;18.4;;;0.6666666666666666;1.5;1.2
43077;;;;;;;;;3739.16603117674;26.0;;;;;1.0
62144;;;4472.295790432208;106.0;5190.1545302844925;25.75;3945.129357386358;41.5;4042.482047813746;22.6;;3.0;1.75;1.5;2.0
2317;;;;;;;3870.4775121831963;174.5;3378.94100712575;148.42857142857142;;;;3.0;1.5714285714285714
3200044100;;;;;4857.385170230729;22.0;3782.7888352546443;17.0;3324.4217252657895;31.0;;;1.0;1.0;1.0
3857;;;;;;;3866.5527221005614;122.5;3336.210064768698;122.0;;;;2.25;1.25
45576;;;;;5081.595893646715;29.4;4158.14557677762;23.6875;3516.9682125308964;48.888888888888886;;;1.4;1.625;1.4444444444444444
3200158500;;;4441.578947368421;33.25;5456.450590791476;26.75;4133.285128183236;28.555555555555557;4064.4594594594596;24.666666666666668;;2.25;2.25;1.7777777777777777;1.8333333333333333
3200094168;;;3822.2957904322084;46.0;;;3950.3628124690777;28.1;3458.880990554899;29.22222222222222;;0.0;;1.5;0.7777777777777778
