"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"08.06.2021";"MA";"231";"578.250 CLP";"2.500 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"09.06.2021";"MI";"198";"516.766 CLP";"2.614 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"10.06.2021";"JU";"186";"482.389 CLP";"2.596 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"11.06.2021";"VI";"650";"1.538.868 CLP";"2.367 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"08.06.2021";"MA";"62";"164.168 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"09.06.2021";"MI";"229";"569.285 CLP";"2.489 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"10.06.2021";"JU";"127";"338.763 CLP";"2.668 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"11.06.2021";"VI";"88";"234.129 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"08.06.2021";"MA";"87";"212.097 CLP";"2.450 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"09.06.2021";"MI";"47";"124.365 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"10.06.2021";"JU";"39";"102.666 CLP";"2.660 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"11.06.2021";"VI";"23";"60.235 CLP";"2.670 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"08.06.2021";"MA";"15";"39.035 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"09.06.2021";"MI";"34";"93.037 CLP";"2.703 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"10.06.2021";"JU";"16";"41.234 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"11.06.2021";"VI";"15";"40.538 CLP";"2.690 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Felipe";"T121";"6";"23.2021";"08.06.2021";"MA";"15";"39.326 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"San Felipe";"T121";"6";"23.2021";"10.06.2021";"JU";"16";"42.665 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"08.06.2021";"MA";"77";"202.707 CLP";"2.632 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"09.06.2021";"MI";"87";"226.441 CLP";"2.600 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"10.06.2021";"JU";"247";"633.478 CLP";"2.562 CLP"
"Cerdo";"1020253";"Foodservice";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"11.06.2021";"VI";"570";"1.339.080 CLP";"2.348 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"08.06.2021";"MA";"95";"246.564 CLP";"2.599 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"09.06.2021";"MI";"202";"517.849 CLP";"2.565 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"10.06.2021";"JU";"40";"105.833 CLP";"2.671 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"11.06.2021";"VI";"63";"162.801 CLP";"2.591 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"08.06.2021";"MA";"322";"827.487 CLP";"2.568 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"09.06.2021";"MI";"253";"659.967 CLP";"2.608 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"10.06.2021";"JU";"272";"717.887 CLP";"2.642 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"11.06.2021";"VI";"144";"384.582 CLP";"2.666 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Curico";"T152";"6";"23.2021";"08.06.2021";"MA";"99";"284.500 CLP";"2.868 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Curico";"T152";"6";"23.2021";"10.06.2021";"JU";"45";"130.686 CLP";"2.890 CLP"
"Cerdo";"1020253";"Foodservice";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"08.06.2021";"MA";"212";"544.553 CLP";"2.566 CLP"
